"Expand","Stock","Holding Value","Qty Held","Mar 2024 Change %","Mar 2024  Holding %","Dec 2023  %","Sep 2023  %","Jun 2023  %","Mar 2023  %","Dec 2022  %","Sep 2022  %","Jun 2022  %","Mar 2022  %","History","DetailsRow"
"","Ganesha Ecosphere Ltd.","465406977.0","402,010","New","1.6","-","-","-","-","-","-","-","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Ganesha Ecosphere Ltd.
    
    







        
    
        
        
            
                    46.5 Cr
            
        
        
    
    
    
        
            402,010
        
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        EAST BRIDGE CAPITAL MASTER FUND I LTD"
"","Updater Services Ltd.","568548230.8","2,118,287","New","3.2","-","-","-","-","-","-","-","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Updater Services Ltd.
    
    







        
    
        
        
            
                    56.9 Cr
            
        
        
    
    
    
        
            2,118,287
        
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        East Bridge Capital Master Fund I Ltd"
"","Dish TV India Ltd.","1198794896.4","79,128,376","1.6","4.3","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Dish TV India Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        EAST BRIDGE CAPITAL MASTER FUND I LTD
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Dish TV India Ltd.
    
    







        
    
        
        
            
                    119.9 Cr
            
        
        
    
    
    
        
            79,128,376
        
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    




    
        East Bridge Capital Master Fund I Ltd"
"","Piramal Enterprises Ltd.","9774472341.9","12,297,254","0.7","5.5","4.8","6.0","6.8","7.0","7.0","7.0","7.0","7.0","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Piramal Enterprises Ltd.
    
    







        
    
        
        
            
                    656.6 Cr
            
        
        
    
    
    
        
            8,260,528
        
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.7%
                
            
        
    




    
        East Bridge Capital Master Fund I Ltd
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Piramal Enterprises Ltd.
    
    







        
    
        
        
            
                    320.9 Cr
            
        
        
    
    
    
        
            4,036,726
        
    

    

    
        
            
                
                    1.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    




    
        East Bridge Capital Master Fund Limited"
"","Jubilant Pharmova Ltd.","8146430122.0","11,839,881","-0.1","7.4","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Jubilant Pharmova Ltd.
    
    







        
    
        
        
            
                    347.0 Cr
            
        
        
    
    
    
        
            5,043,234
        
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    




    
        EAST BRIDGE CAPITAL MASTER FUND I LTD
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Jubilant Pharmova Ltd.
    
    







        
    
        
        
            
                    467.6 Cr
            
        
        
    
    
    
        
            6,796,647
        
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.3%
                
            
        
    




    
        EAST BRIDGE CAPITAL MASTER FUND LIMITED"
"","Tejas Networks Ltd.","5228673419.2","4,691,918","-0.1","2.8","2.8","2.8","3.9","3.9","4.3","4.7","5.0","6.6","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Tejas Networks Ltd.
    
    







        
    
        
        
            
                    522.9 Cr
            
        
        
    
    
    
        
            4,691,918
        
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.2%
                
            
        
    




    
        East Bridge Capital Master Fund I Ltd
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Tejas Networks Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.4%
                
            
        
    




    
        East Bridge Capital Master Fund Limited"
"","Piramal Pharma Ltd.","8524587383.6","57,579,111","-0.4","4.4","4.7","4.9","5.4","5.6","5.6","-","-","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Piramal Pharma Ltd.
    
    







        
    
        
        
            
                    852.5 Cr
            
        
        
    
    
    
        
            57,579,111
        
    

    

    
        
            
                
                    4.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        East Bridge Capital Master Fund I Ltd
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Piramal Pharma Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        East Bridge Capital Master Fund Limited"
"","Tata Communications Ltd.","9907743322.7","5,571,469","-1.2","2.0","3.2","3.2","4.4","4.5","4.8","5.0","5.2","5.2","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Tata Communications Ltd.
    
    







        
    
        
        
            
                    990.8 Cr
            
        
        
    
    
    
        
            5,571,469
        
    

    

    
        
            
                
                    2.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.2%
                
            
        
    




    
        East Bridge Capital Master Fund I Ltd"
"","Inox Wind Ltd.","-","-","Below 1%","-","1.5","-","-","-","-","-","-","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Inox Wind Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        East Bridge Capital Master Fund I Ltd"
"","Sterling and Wilson Renewable Energy Ltd.","-","-","Below 1%","-","1.2","-","-","-","-","-","-","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Sterling and Wilson Renewable Energy Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        East Bridge Capital Master Fund I Ltd"
