"Expand","Stock","Holding Value","Qty Held","Mar 2024 Change %","Mar 2024  Holding %","Dec 2023  %","Sep 2023  %","Jun 2023  %","Mar 2023  %","Dec 2022  %","Sep 2022  %","Jun 2022  %","Mar 2022  %","History","DetailsRow"
"","SEL Manufacturing Company Ltd.","23144000.0","352,000","-0.1","1.1","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    SEL Manufacturing Company Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        INDIAN OVERSEAS BANK
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    SEL Manufacturing Company Ltd.
    
    







        
    
        
        
            
                    2.3 Cr
            
        
        
    
    
    
        
            352,000
        
    

    

    
        
            
                
                    1.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.2%
                
            
        
    




    
        Indian Overseas Bank"
"","Sri Adhikari Brothers Television Network Ltd.","-","-","Below 1%","-","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Sri Adhikari Brothers Television Network Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    




    
        INDIAN OVERSEAS BANK
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Sri Adhikari Brothers Television Network Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        Indian Overseas Bank"
"","Bajaj Hindusthan Sugar Ltd.","731850000.0","23,800,000","-0.0","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Bajaj Hindusthan Sugar Ltd.
    
    







        
    
        
        
            
                    73.2 Cr
            
        
        
    
    
    
        
            23,800,000
        
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    




    
        Indian Overseas Bank"
"","GTL Ltd.","29928347.7","2,433,199","0.0","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.6","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    GTL Ltd.
    
    







        
    
        
        
            
                    3.0 Cr
            
        
        
    
    
    
        
            2,433,199
        
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    




    
        INDIAN OVERSEAS BANK"
"","GTL Infrastructure Ltd.","1005048735.0","670,032,490","0.0","5.2","5.2","5.2","5.2","5.3","5.3","5.3","5.3","5.3","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    GTL Infrastructure Ltd.
    
    







        
    
        
        
            
                    100.5 Cr
            
        
        
    
    
    
        
            670,032,490
        
    

    

    
        
            
                
                    5.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.3%
                
            
        
    




    
        INDIAN OVERSEAS BANK"
"","Gujarat State Financial Corporation","132800.0","5,000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Gujarat State Financial Corporation
    
    







        
    
        
        
            
                    1.3 L
            
        
        
    
    
    
        
            5,000
        
    

    

    
        
            
                
                    0.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    0.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    0.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    0.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    0.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    0.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    0.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    0.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    0.0%
                
            
        
    




    
        Indian Overseas Bank"
"","SAB Events & Governance Now Media Ltd.","11640750.0","1,245,000","0.0","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    SAB Events & Governance Now Media Ltd.
    
    







        
    
        
        
            
                    1.2 Cr
            
        
        
    
    
    
        
            1,245,000
        
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    




    
        INDIAN OVERSEAS BANK"
"","TV Vision Ltd.","28120387.1","4,105,166","0.0","10.6","10.6","10.6","11.2","11.2","11.2","11.2","11.2","11.2","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    TV Vision Ltd.
    
    







        
    
        
        
            
                    2.8 Cr
            
        
        
    
    
    
        
            4,105,166
        
    

    

    
        
            
                
                    10.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.2%
                
            
        
    




    
        INDIAN OVERSEAS BANK"
"","Imagicaaworld Entertainment Ltd.","-","-","Filing Awaited","-","-","-","-","1.1","1.1","1.1","1.1","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Imagicaaworld Entertainment Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        Indian Overseas Bank"
"","Bartronics India Ltd.","-","-","-","-","-","-","-","-","2.2","2.0","2.0","2.0","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Bartronics India Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.0%
                
            
        
    




    
        INDIAN OVERSEAS BANK"
