"Expand","Stock","Holding Value","Qty Held","Mar 2024 Change %","Mar 2024  Holding %","Dec 2023  %","Sep 2023  %","Jun 2023  %","Mar 2023  %","Dec 2022  %","Sep 2022  %","Jun 2022  %","Mar 2022  %","History","DetailsRow"
"","Genesys International Corporation Ltd.","674607234.0","1,304,345","New","3.3","-","2.3","2.3","2.3","2.4","2.4","-","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Genesys International Corporation Ltd.
    
    







        
    
        
        
            
                    67.5 Cr
            
        
        
    
    
    
        
            1,304,345
        
    

    

    
        
            
                
                    3.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        MALABAR INDIA FUND LIMITED"
"","Hariom Pipe Industries Ltd.","861628625.0","1,622,500","4.2","5.6","1.5","1.5","1.5","-","-","-","-","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Hariom Pipe Industries Ltd.
    
    







        
    
        
        
            
                    86.2 Cr
            
        
        
    
    
    
        
            1,622,500
        
    

    

    
        
            
                
                    5.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        MALABAR INDIA FUND LIMITED"
"","Ganesh Benzoplast Ltd.","495136294.8","3,467,341","2.2","4.8","2.6","2.6","2.7","2.7","-","-","-","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Ganesh Benzoplast Ltd.
    
    







        
    
        
        
            
                    49.5 Cr
            
        
        
    
    
    
        
            3,467,341
        
    

    

    
        
            
                
                    4.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        Malabar India Fund Limited"
"","SIS Ltd.","1943522928.0","4,804,160","-0.1","3.3","3.4","3.4","3.4","3.4","3.4","3.4","3.5","3.7","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    SIS Ltd.
    
    







        
    
        
        
            
                    90.1 Cr
            
        
        
    
    
    
        
            2,226,167
        
    

    

    
        
            
                
                    1.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.8%
                
            
        
    




    
        Malabar India Fund Limited
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    SIS Ltd.
    
    







        
    
        
        
            
                    104.3 Cr
            
        
        
    
    
    
        
            2,577,993
        
    

    

    
        
            
                
                    1.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.9%
                
            
        
    




    
        Malabar Select Fund"
"","Safari Industries (India) Ltd.","6551445538.8","3,330,425","-0.2","6.8","7.0","7.4","7.6","8.5","8.6","8.6","9.4","9.7","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Safari Industries (India) Ltd.
    
    







        
    
        
        
            
                    655.1 Cr
            
        
        
    
    
    
        
            3,330,425
        
    

    

    
        
            
                
                    6.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    8.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    8.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    8.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.7%
                
            
        
    




    
        MALABAR INDIA FUND LIMITED"
"","Aptus Value Housing Finance India Ltd.","9586703400.8","31,976,996","-0.2","6.4","6.6","7.6","7.6","7.6","7.6","7.6","7.7","7.7","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Aptus Value Housing Finance India Ltd.
    
    







        
    
        
        
            
                    586.3 Cr
            
        
        
    
    
    
        
            19,556,300
        
    

    

    
        
            
                
                    3.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.9%
                
            
        
    




    
        MALABAR INDIA FUND LIMITED
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Aptus Value Housing Finance India Ltd.
    
    







        
    
        
        
            
                    372.4 Cr
            
        
        
    
    
    
        
            12,420,696
        
    

    

    
        
            
                
                    2.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.7%
                
            
        
    




    
        MALABAR SELECT FUND"
"","SBFC Finance Ltd.","2837615118.8","34,945,999","-0.3","3.3","3.6","3.3","-","-","-","-","-","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    SBFC Finance Ltd.
    
    







        
    
        
        
            
                    186.0 Cr
            
        
        
    
    
    
        
            22,909,635
        
    

    

    
        
            
                
                    2.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        MALABAR INDIA FUND LIMITED
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    SBFC Finance Ltd.
    
    







        
    
        
        
            
                    97.7 Cr
            
        
        
    
    
    
        
            12,036,364
        
    

    

    
        
            
                
                    1.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        MALABAR SELECT FUND"
"","Xpro India Ltd.","2410800000.0","2,460,000","-0.7","11.2","11.9","11.9","-","-","-","-","-","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Xpro India Ltd.
    
    







        
    
        
        
            
                    241.1 Cr
            
        
        
    
    
    
        
            2,460,000
        
    

    

    
        
            
                
                    11.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    11.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        MALABAR INDIA FUND LIMITED"
"","Neuland Laboratories Ltd.","7716852580.0","1,277,096","-1.6","10.0","11.6","12.6","12.9","13.6","13.6","13.6","13.9","14.0","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Neuland Laboratories Ltd.
    
    







        
    
        
        
            
                    771.7 Cr
            
        
        
    
    
    
        
            1,277,096
        
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    




    
        MALABAR INDIA FUND LIMITED
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Neuland Laboratories Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.1%
                
            
        
    




    
        MALABAR VALUE FUND"
"","Newgen Software Technologies Ltd.","-","-","Below 1%","-","1.0","1.3","1.8","2.3","2.4","2.4","2.5","2.6","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Newgen Software Technologies Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    1.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.6%
                
            
        
    




    
        MALABAR INDIA FUND LIMITED"
