"Expand","Stock","Holding Value","Qty Held","Mar 2024 Change %","Mar 2024  Holding %","Dec 2023  %","Sep 2023  %","Jun 2023  %","Mar 2023  %","Dec 2022  %","Sep 2022  %","Jun 2022  %","Mar 2022  %","History","DetailsRow"
"","Vaibhav Global Ltd.","5189033038.0","15,343,090","-0.1","9.3","9.3","10.2","10.2","10.2","10.2","10.2","10.2","10.2","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Vaibhav Global Ltd.
    
    







        
    
        
        
            
                    518.9 Cr
            
        
        
    
    
    
        
            15,343,090
        
    

    

    
        
            
                
                    9.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        NALANDA INDIA FUND LIMITED
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Vaibhav Global Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.2%
                
            
        
    




    
        NALANDA INDIA FUND LIMITED  (FII)
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Vaibhav Global Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        NALANDA INDIA FUND LIMITED(FII)
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Vaibhav Global Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        Nalanda India fund Limited(FII)"
"","Voltamp Transformers Ltd.","10555511880.8","937,576","-0.2","9.3","9.5","9.5","9.5","10.0","10.0","14.2","14.2","14.2","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Voltamp Transformers Ltd.
    
    







        
    
        
        
            
                    729.2 Cr
            
        
        
    
    
    
        
            647,732
        
    

    

    
        
            
                
                    6.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    6.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    6.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    6.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    6.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    6.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    6.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    6.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    6.4%
                
            
        
    




    
        Nalanda India Equity Fund Limited
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Voltamp Transformers Ltd.
    
    







        
    
        
        
            
                    326.3 Cr
            
        
        
    
    
    
        
            289,844
        
    

    

    
        
            
                
                    2.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.6%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.8%
                
            
        
    




    
        Nalanda India Fund Limited"
"","Ahluwalia Contracts (India) Ltd.","7495324740.6","6,395,874","-0.4","9.6","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Ahluwalia Contracts (India) Ltd.
    
    







        
    
        
        
            
                    453.5 Cr
            
        
        
    
    
    
        
            3,870,102
        
    

    

    
        
            
                
                    5.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    5.8%
                
            
        
    




    
        Nalanda India Equity Fund Limited
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Ahluwalia Contracts (India) Ltd.
    
    







        
    
        
        
            
                    296.0 Cr
            
        
        
    
    
    
        
            2,525,772
        
    

    

    
        
            
                
                    3.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.1%
                
            
        
    




    
        Nalanda India Fund Limited"
"","Amara Raja Energy & Mobility Ltd.","19942296106.3","16,880,938","-0.7","9.2","9.9","9.9","9.9","9.9","9.9","9.9","9.9","9.9","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Amara Raja Energy & Mobility Ltd.
    
    







        
    
        
        
            
                    1,994.2 Cr
            
        
        
    
    
    
        
            16,880,938
        
    

    

    
        
            
                
                    9.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.9%
                
            
        
    




    
        NALANDA INDIA EQUITY FUND 
LIMITED
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Amara Raja Energy & Mobility Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        NALANDA INDIA EQUITY FUND LIMITED"
"","AIA Engineering Ltd.","33556564226.7","9,127,809","0.0","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    AIA Engineering Ltd.
    
    







        
    
        
        
            
                    3,355.7 Cr
            
        
        
    
    
    
        
            9,127,809
        
    

    

    
        
            
                
                    9.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.7%
                
            
        
    




    
        Nalanda India Equity Fund Limited"
"","Berger Paints (India) Ltd.","19699880880.0","42,825,828","-0.0","3.7","3.7","4.0","4.0","4.0","4.0","4.0","4.0","4.0","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Berger Paints (India) Ltd.
    
    







        
    
        
        
            
                    1,970.0 Cr
            
        
        
    
    
    
        
            42,825,828
        
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    3.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        NALANDA INDIA FUND LIMITED
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Berger Paints (India) Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    4.0%
                
            
        
    




    
        Nalanda India Fund Ltd."
"","Cera Sanitaryware Ltd.","9095698558.1","1,298,143","0.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Cera Sanitaryware Ltd.
    
    







        
    
        
        
            
                    909.6 Cr
            
        
        
    
    
    
        
            1,298,143
        
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    10.0%
                
            
        
    




    
        NALANDA INDIA EQUITY FUND LIMITED"
"","DB Corp Ltd.","5258184589.9","17,385,302","0.0","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    DB Corp Ltd.
    
    







        
    
        
        
            
                    525.8 Cr
            
        
        
    
    
    
        
            17,385,302
        
    

    

    
        
            
                
                    9.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        NALANDA INDIA EQUITY FUND LIMITED
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    DB Corp Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    9.8%
                
            
        
    




    
        Nalanda India Equity Fund Limited"
"","Elgi Equipments Ltd.","5425929039.0","8,884,770","0.0","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Elgi Equipments Ltd.
    
    







        
    
        
        
            
                    542.6 Cr
            
        
        
    
    
    
        
            8,884,770
        
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    2.8%
                
            
        
    




    
        Nalanda India Equity Fund Limited"
"","Great Eastern Shipping Company Ltd.","11337654944.7","10,524,139","0.0","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","7.4","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Great Eastern Shipping Company Ltd.
    
    







        
    
        
        
            
                    1,133.8 Cr
            
        
        
    
    
    
        
            10,524,139
        
    

    

    
        
            
                
                    7.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    7.4%
                
            
        
    




    
        NALANDA INDIA EQUITY FUND LIMITED"
