"Expand","Stock","Holding Value","Qty Held","Mar 2024 Change %","Mar 2024  Holding %","Dec 2023  %","Sep 2023  %","Jun 2023  %","Mar 2023  %","Dec 2022  %","Sep 2022  %","Jun 2022  %","Mar 2022  %","History","DetailsRow"
"","Shipping Corporation of India Land And Assets Ltd.","19806096565.9","296,942,977","New","63.8","-","-","-","-","-","-","-","-","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Shipping Corporation of India Land And Assets Ltd.
    
    







        
    
        
        
            
                    1,980.6 Cr
            
        
        
    
    
    
        
            296,942,977
        
    

    

    
        
            
                
                    63.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        PRESIDENT OF INDIA ."
"","Housing and Urban Development Corporation Ltd.","411090165000.0","1,501,425,000","-0.2","75.0","75.2","81.8","81.8","81.8","81.8","81.8","81.8","81.8","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Housing and Urban Development Corporation Ltd.
    
    







        
    
        
        
            
                    29,746.3 Cr
            
        
        
    
    
    
        
            1,086,425,000
        
    

    

    
        
            
                
                    54.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    54.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    61.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    61.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    61.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    61.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    61.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    61.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    61.1%
                
            
        
    




    
        THE PRESIDENT OF INDIA THROUGH SECRETARY MINISTRY OF HOUSING AND URBAN AFFAIRS
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Housing and Urban Development Corporation Ltd.
    
    







        
    
        
        
            
                    11,362.7 Cr
            
        
        
    
    
    
        
            415,000,000
        
    

    

    
        
            
                
                    20.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    20.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    20.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    20.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    20.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    20.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    20.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    20.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    20.7%
                
            
        
    




    
        THE PRESIDENT OF INDIA THROUGH SECRETARY MINISTRY OF RURAL DEVELOPMENT GOVERNMENT OF INDIA"
"","ITI Ltd.","256838715433.7","864,485,747","-0.3","90.0","90.3","90.3","90.3","90.1","90.1","90.1","90.1","90.0","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    ITI Ltd.
    
    







        
    
        
        
            
                    25,683.9 Cr
            
        
        
    
    
    
        
            864,485,747
        
    

    

    
        
            
                
                    90.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    90.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    90.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    90.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    90.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    90.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    90.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    90.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    90.0%
                
            
        
    




    
        PRESIDENT OF INDIA"
"","Union Bank of India","913921735127.5","5,706,660,850","-2.2","74.8","77.0","77.0","83.5","83.5","83.5","83.5","83.5","83.5","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Union Bank of India
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    83.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    83.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        PRESIDENT OF INDIA
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Union Bank of India
    
    







        
    
        
        
            
                    91,392.2 Cr
            
        
        
    
    
    
        
            5,706,660,850
        
    

    

    
        
            
                
                    74.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    77.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    77.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    83.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    83.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    83.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    83.5%
                
            
        
    




    
        President of India"
"","NHPC Ltd.","726098207620.5","6,770,146,458","-3.6","67.4","71.0","71.0","71.0","71.0","71.0","71.0","71.0","71.0","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    NHPC Ltd.
    
    







        
    
        
        
            
                    72,609.8 Cr
            
        
        
    
    
    
        
            6,770,146,458
        
    

    

    
        
            
                
                    67.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    71.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    71.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    71.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    71.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    71.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    71.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    71.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    71.0%
                
            
        
    




    
        PRESIDENT OF INDIA"
"","NLC India Ltd.","236773526913.0","1,001,156,562","-7.0","72.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    NLC India Ltd.
    
    







        
    
        
        
            
                    23,677.4 Cr
            
        
        
    
    
    
        
            1,001,156,562
        
    

    

    
        
            
                
                    72.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    79.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    79.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    79.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    79.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    79.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    79.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    79.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    79.2%
                
            
        
    




    
        PRESIDENT OF INDIA"
"","Bank of Baroda","876338124116.1","3,308,184,689","0.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Bank of Baroda
    
    







        
    
        
        
            
                    87,633.8 Cr
            
        
        
    
    
    
        
            3,308,184,689
        
    

    

    
        
            
                
                    64.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    64.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    64.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    64.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    64.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    64.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    64.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    64.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    64.0%
                
            
        
    




    
        President of India"
"","Bank of India","429968903364.0","3,340,861,720","0.0","73.4","73.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Bank of India
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    73.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        GOVERNMENT OF INDIA
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Bank of India
    
    







        
    
        
        
            
                    42,996.9 Cr
            
        
        
    
    
    
        
            3,340,861,720
        
    

    

    
        
            
                
                    73.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    81.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    81.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    81.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    81.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    81.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    81.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    81.4%
                
            
        
    




    
        PRESIDENT OF INDIA"
"","Bharat Electronics Ltd.","1106237996367.3","3,737,921,934","0.0","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Bharat Electronics Ltd.
    
    







        
    
        
        
            
                    110,623.8 Cr
            
        
        
    
    
    
        
            3,737,921,934
        
    

    

    
        
            
                
                    51.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    51.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    51.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    51.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    51.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    51.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    51.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    51.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    51.1%
                
            
        
    




    
        PRESIDENT OF INDIA"
"","BEML Ltd.","99014625000.0","22,500,000","0.0","54.0","54.0","54.0","54.0","54.0","54.0","54.0","54.0","54.0","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    BEML Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    54.0%
                
            
        
    




    
        GOVERNMENT OF INDIA
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    BEML Ltd.
    
    







        
    
        
        
            
                    9,901.5 Cr
            
        
        
    
    
    
        
            22,500,000
        
    

    

    
        
            
                
                    54.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    54.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    54.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    54.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    54.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    54.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    54.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    54.0%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        PRESIDENT OF INDIA"
