"Expand","Stock","Holding Value","Qty Held","Mar 2024 Change %","Mar 2024  Holding %","Dec 2023  %","Sep 2023  %","Jun 2023  %","Mar 2023  %","Dec 2022  %","Sep 2022  %","Jun 2022  %","Mar 2022  %","History","DetailsRow"
"","Tata Steel Ltd.","662961613424.0","3,965,081,420","-0.5","31.8","32.2","32.4","32.4","32.4","32.4","32.5","32.5","32.5","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Tata Steel Ltd.
    
    







        
    
        
        
            
                    66,296.2 Cr
            
        
        
    
    
    
        
            3,965,081,420
        
    

    

    
        
            
                
                    31.8%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    32.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    32.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    32.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    32.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    32.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    32.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    32.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    32.5%
                
            
        
    




    
        TATA SONS PRIVATE LIMITED"
"","Tata Consultancy Services Ltd.","9527948592178.0","2,595,499,419","-0.6","71.7","72.4","72.3","72.3","72.3","72.3","72.3","72.3","72.3","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Tata Consultancy Services Ltd.
    
    







        
    
        
        
            
                    952,794.9 Cr
            
        
        
    
    
    
        
            2,595,499,419
        
    

    

    
        
            
                
                    71.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    72.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    72.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    72.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    72.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    72.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    72.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    72.3%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    72.3%
                
            
        
    




    
        TATA SONS PRIVATE LIMITED"
"","Tata Consumer Products Ltd.","286858194962.0","270,557,128","-0.7","28.4","29.1","29.1","29.2","29.2","29.2","29.4","29.4","29.4","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Tata Consumer Products Ltd.
    
    







        
    
        
        
            
                    28,685.8 Cr
            
        
        
    
    
    
        
            270,557,128
        
    

    

    
        
            
                
                    28.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    29.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    29.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    29.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    29.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    29.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    29.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    29.4%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    29.4%
                
            
        
    




    
        Tata Sons Private Limited"
"","Indian Hotels Company Ltd.","282967071466.2","507,655,313","0.0","35.7","35.7","35.7","35.7","35.7","35.7","35.7","35.7","35.7","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Indian Hotels Company Ltd.
    
    







        
    
        
        
            
                    28,296.7 Cr
            
        
        
    
    
    
        
            507,655,313
        
    

    

    
        
            
                
                    35.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    35.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    35.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    35.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    35.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    35.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    35.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    35.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    35.7%
                
            
        
    




    
        TATA SONS PRIVATE LIMITED"
"","Tata Chemicals Ltd.","83710086864.3","81,260,095","0.0","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Tata Chemicals Ltd.
    
    







        
    
        
        
            
                    8,371.0 Cr
            
        
        
    
    
    
        
            81,260,095
        
    

    

    
        
            
                
                    31.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    31.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    31.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    31.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    31.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    31.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    31.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    31.9%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    31.9%
                
            
        
    




    
        Tata Sons Private Limited"
"","Tata Communications Ltd.","71287848433.7","40,087,639","0.0","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","14.1","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Tata Communications Ltd.
    
    







        
    
        
        
            
                -
            
        
        
    
    
    
        
            -
        
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    14.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    14.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    14.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    14.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    14.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    14.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    14.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    




    
        TATA SONS PRIVATE LIMITED
    





    
        
            
        
    


                                            
                                        
                                            
                                                





    Tata Communications Ltd.
    
    







        
    
        
        
            
                    7,128.8 Cr
            
        
        
    
    
    
        
            40,087,639
        
    

    

    
        
            
                
                    14.1%
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                     -
                    
                
            
        
    
        
    
    
    

    

    
        
            
                
                    14.1%
                
            
        
    




    
        Tata Sons Private Limited"
"","Tata Elxsi Ltd.","182603516558.4","26,295,264","0.0","42.2","42.2","42.2","42.2","42.2","42.2","42.2","42.2","42.2","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Tata Elxsi Ltd.
    
    







        
    
        
        
            
                    18,260.4 Cr
            
        
        
    
    
    
        
            26,295,264
        
    

    

    
        
            
                
                    42.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    42.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    42.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    42.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    42.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    42.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    42.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    42.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    42.2%
                
            
        
    




    
        Tata Sons Private Limited"
"","Tata Investment Corporation Ltd.","222535003827.9","34,664,663","0.0","68.5","68.5","68.5","68.5","68.5","68.5","68.5","68.5","68.5","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Tata Investment Corporation Ltd.
    
    







        
    
        
        
            
                    22,253.5 Cr
            
        
        
    
    
    
        
            34,664,663
        
    

    

    
        
            
                
                    68.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    68.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    68.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    68.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    68.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    68.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    68.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    68.5%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    68.5%
                
            
        
    




    
        Tata Sons Private Limited"
"","Tata Motors Ltd.","1340301038323.0","1,452,113,801","-0.0","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Tata Motors Ltd.
    
    







        
    
        
        
            
                    134,030.1 Cr
            
        
        
    
    
    
        
            1,452,113,801
        
    

    

    
        
            
                
                    43.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    43.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    43.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    43.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    43.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    43.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    43.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    43.7%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    43.7%
                
            
        
    




    
        Tata Sons Private Limited"
"","Tata Power Company Ltd.","630891061921.8","1,444,513,021","0.0","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","","Stock
                                            
                                                Holding Value
                                                
                                            
                                            Qty Held
                                            
                                                
                                                    Mar 2024 Holding %
                                                
                                            
                                                
                                                    Dec 2023 %
                                                
                                            
                                                
                                                    Sep 2023 %
                                                
                                            
                                                
                                                    Jun 2023 %
                                                
                                            
                                                
                                                    Mar 2023 %
                                                
                                            
                                                
                                                    Dec 2022 %
                                                
                                            
                                                
                                                    Sep 2022 %
                                                
                                            
                                                
                                                    Jun 2022 %
                                                
                                            
                                                
                                                    Mar 2022 %
                                                
                                            
                                            Holder Name
                                            History
                                        
                                    
                                    
                                    
                                        
                                            
                                                





    Tata Power Company Ltd.
    
    







        
    
        
        
            
                    63,089.1 Cr
            
        
        
    
    
    
        
            1,444,513,021
        
    

    

    
        
            
                
                    45.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    45.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    45.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    45.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    45.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    45.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    45.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    45.2%
                
            
        
    
        
    
    
    

    

    
        
            
                
                    45.2%
                
            
        
    




    
        Tata Sons Private Limited"
